дата;wiki id;page id;имя;профессия;ссылка
1900-01-01;Q4089597;3897776;Богомолов, Александр Ефремович;Soviet diplomat (1900–1969);https://ru.wikipedia.org/wiki/Богомолов,_Александр_Ефремович
1900-01-01;Q4107831;3915718;Вериго, Леонид Витальевич;army officer;https://ru.wikipedia.org/wiki/Вериго,_Леонид_Витальевич
1900-01-01;Q4138320;3946349;Гиль, Герберт;;https://ru.wikipedia.org/wiki/Гиль,_Герберт
1900-01-01;Q4143769;3951917;Горгадзе, Шалва Александрович;Soviet conductor and composer (1900-1974);https://ru.wikipedia.org/wiki/Горгадзе,_Шалва_Александрович
1900-01-01;Q4229072;4038506;Семён Николаевич Колядин;;https://ru.wikipedia.org/wiki/Семён_Николаевич_Колядин
1900-01-01;Q4247588;4056729;Куприянов, Николай Григорьевич;;https://ru.wikipedia.org/wiki/Куприянов,_Николай_Григорьевич
1900-01-01;Q4264588;4074906;Лобанов, Андрей Михайлович;;https://ru.wikipedia.org/wiki/Лобанов,_Андрей_Михайлович
1900-01-01;Q4272583;4083523;Ляликов, Николай Иванович;;https://ru.wikipedia.org/wiki/Ляликов,_Николай_Иванович
1900-01-01;Q4276240;4087198;Максимов-Диковский, Вениамин Адамович;;https://ru.wikipedia.org/wiki/Максимов-Диковский,_Вениамин_Адамович
1900-01-01;Q4380910;4184610;Прорвич, София Фёдоровна;Belarusian writer.;https://ru.wikipedia.org/wiki/Прорвич,_София_Фёдоровна
1900-01-01;Q4386754;4190216;Рабон, Израэль;;https://ru.wikipedia.org/wiki/Рабон,_Израэль
1900-01-01;Q4390769;4193988;Ратманский, Михаил Самойлович;Один из организаторов комсомола на Украине;https://ru.wikipedia.org/wiki/Ратманский,_Михаил_Самойлович
1900-01-01;Q4406521;4208791;Самбук, Феодосий Викторович;Soviet botanist (1900-1942);https://ru.wikipedia.org/wiki/Самбук,_Феодосий_Викторович
1900-01-01;Q4415866;4217686;Семёнов-Самарский, Семён Яковлевич;;https://ru.wikipedia.org/wiki/Семёнов-Самарский,_Семён_Яковлевич
1900-01-01;Q4453092;4251798;Таюрский, Андрей Иванович;;https://ru.wikipedia.org/wiki/Таюрский,_Андрей_Иванович
1900-01-01;Q4519287;4313481;Шаганов (майор);;https://ru.wikipedia.org/wiki/Шаганов_(майор)
1900-01-01;Q5049115;4825167;Кэспиан Тредуэлл-Оуэн;American screenwriter;https://ru.wikipedia.org/wiki/Кэспиан_Тредуэлл-Оуэн
1900-01-01;Q5085258;4859930;Чарли Моул;British composer;https://ru.wikipedia.org/wiki/Чарли_Моул
1900-01-01;Q5534825;5295167;Джеффри Тейлор;ирландский поэт;https://ru.wikipedia.org/wiki/Джеффри_Тейлор
1900-01-01;Q9254499;9350242;Сунино, Эребо;уругвайский футболист;https://ru.wikipedia.org/wiki/Сунино,_Эребо
1900-01-01;Q9258826;9355297;Буффони, Фелипе;association football player;https://ru.wikipedia.org/wiki/Буффони,_Фелипе
1900-01-01;Q10859134;12131421;Мирза Мохсун-хан Тебризи;Iranian politician, diplomat and translator;https://ru.wikipedia.org/wiki/Мирза_Мохсун-хан_Тебризи
1900-01-01;Q11365241;12503277;Накамура, Иссаку;;https://ru.wikipedia.org/wiki/Накамура,_Иссаку
1900-01-01;Q11411788;12550492;Тадано, Наосабуро;Japanese politician;https://ru.wikipedia.org/wiki/Тадано,_Наосабуро
1900-01-01;Q11453104;12592612;Муротани, Кэндзиро;Japanese teacher (1900-1975);https://ru.wikipedia.org/wiki/Муротани,_Кэндзиро
1900-01-01;Q11461068;12600551;Комацу, Таро;Japanese translator;https://ru.wikipedia.org/wiki/Комацу,_Таро
1900-01-01;Q11513574;12653334;Касугаи, Каору;;https://ru.wikipedia.org/wiki/Касугаи,_Каору
1900-01-01;Q11531830;12671737;Мацура, Сакаэ;Japanese bureaucrat, politician and scholar;https://ru.wikipedia.org/wiki/Мацура,_Сакаэ
1900-01-01;Q11576020;12715955;Танака, Рюдзо;;https://ru.wikipedia.org/wiki/Танака,_Рюдзо
1900-01-01;Q11645201;12785669;Ногути, Ёсиаки;;https://ru.wikipedia.org/wiki/Ногути,_Ёсиаки
1900-01-01;Q12588311;13880514;Ким Юн Гынь;;https://ru.wikipedia.org/wiki/Ким_Юн_Гынь
1900-01-01;Q110973;113600;Хоппе, Эльзе;фигуристка;https://ru.wikipedia.org/wiki/Хоппе,_Эльзе
1900-01-01;Q263353;255359;Баттел, Эдвард;британский велогонщик;https://ru.wikipedia.org/wiki/Баттел,_Эдвард
