дата;wiki id;page id;имя;профессия;ссылка
1924-06-07;Q1621347;1555866;Вилли Шмидт;German sculptor;https://ru.wikipedia.org/wiki/Вилли_Шмидт
1924-06-07;Q18169220;19699049;Олову, Карим;Nigerian long jumper and sprinter;https://ru.wikipedia.org/wiki/Олову,_Карим
1924-06-07;Q4522430;4316348;Шейман, Лев Аврумович;;https://ru.wikipedia.org/wiki/Шейман,_Лев_Аврумович
1924-06-07;Q12080261;13300300;Бажутин, Борис Николаевич;;https://ru.wikipedia.org/wiki/Бажутин,_Борис_Николаевич
1924-06-07;Q18278620;19807962;Тимофей;;https://ru.wikipedia.org/wiki/Тимофей
1924-06-07;Q4106032;3913954;Вейсберг, Владимир Григорьевич;живописец, авангардист, теоретик;https://ru.wikipedia.org/wiki/Вейсберг,_Владимир_Григорьевич
1924-06-07;Q6259870;6063573;Джон Сильвен;Canadian politician;https://ru.wikipedia.org/wiki/Джон_Сильвен
1924-06-07;Q48953300;49968156;Шерстнёв, Игорь Александрович;;https://ru.wikipedia.org/wiki/Шерстнёв,_Игорь_Александрович
1924-06-07;Q462502;436234;Долорес Грэй;American actress;https://ru.wikipedia.org/wiki/Долорес_Грэй
1924-06-07;Q4153982;3962150;Дадашев, Мелик Юсуф оглы;actor;https://ru.wikipedia.org/wiki/Дадашев,_Мелик_Юсуф_оглы
1924-06-07;Q2720552;2614482;Аарне Хонкаваара;финский хоккеист и тренер;https://ru.wikipedia.org/wiki/Аарне_Хонкаваара
1924-06-07;Q4013500;3826314;Винченцо Росси;Italian poet and writer;https://ru.wikipedia.org/wiki/Винченцо_Росси
1924-06-08;Q667074;628058;Самуэль Карлин;American mathematician;https://ru.wikipedia.org/wiki/Самуэль_Карлин
1924-06-08;Q15081205;16744483;Попов, Николай Васильевич (полный кавалер ордена Славы);;https://ru.wikipedia.org/wiki/Попов,_Николай_Васильевич_(полный_кавалер_ордена_Славы)
1924-06-08;Q1644524;1578494;Левавассёр, Жан;французский фехтовальщик-саблист;https://ru.wikipedia.org/wiki/Левавассёр,_Жан
1924-06-08;Q3481794;3316084;Шелдон Эллман;American-Canadian actor, singer and songwriter (1924-2002);https://ru.wikipedia.org/wiki/Шелдон_Эллман
1924-06-08;Q4344286;4151478;Пантелеев, Иван Иванович;Soviet writer (1924-1994);https://ru.wikipedia.org/wiki/Пантелеев,_Иван_Иванович
1924-06-08;Q863072;814513;Доу, Уильям;Canadian ice hockey player;https://ru.wikipedia.org/wiki/Доу,_Уильям
